,CytoTRACE,tSNE1,tSNE2,FA1,FA2,UMAP1,UMAP2
SRR3617549,0.698005698,-11.32400698,-10.83120107,-5355.576098,1185.819095,1.187644839,11.67425823
SRR3617888,0.028490028,-3.464307787,-0.420259204,-440.8351202,315.7329778,6.466754436,8.517422676
SRR3617912,0,-2.030161367,0.673019552,565.0456581,-408.0960525,5.896763325,8.044663429
SRR3618265,0.333333333,-12.11034359,-10.48168525,-5553.89395,1282.253207,1.698681116,10.998703
SRR3617192,0.752136752,-0.080839054,-4.577503487,-29.49641112,-674.5012564,6.117501259,8.856034279
SRR3617218,0.783475783,0.901580127,2.445328522,720.8996975,399.6537701,4.545519352,8.313423157
SRR3617220,0.404558405,0.643100994,3.78144878,1116.455564,-113.7978817,4.592745304,7.890129566
SRR3617221,0.475783476,1.679466837,2.264630052,740.3166703,1053.514701,4.997542381,7.770689011
SRR3617225,0.105413105,-1.843898044,3.189720487,1930.983236,-1249.437615,4.509684563,7.297309875
SRR3617226,0.076923077,-3.549826432,6.692644695,1866.294431,-1253.524474,3.639999628,8.143284798
SRR3617227,0.122507123,2.591291672,5.280285882,1955.901817,-354.3251073,5.349668026,7.853376389
SRR3617229,0.008547009,0.30125716,8.2955102,-73.36661211,-1453.816561,4.014719963,7.517907619
SRR3617239,0.230769231,-3.575932625,-2.620606389,898.7835383,1384.606083,5.810595512,9.690242767
SRR3617240,0.094017094,2.583894603,6.142670321,226.8964006,307.8739597,4.024653912,7.838536739
SRR3617244,0.108262108,1.321478086,7.538786614,217.8048631,501.9241242,3.99418664,8.231356621
SRR3617246,0.168091168,-0.135574788,3.03730677,1124.887859,907.6567686,5.480362892,8.339713097
SRR3617248,0.250712251,1.382700022,5.581110543,1447.115471,-1402.313399,3.819131613,7.536521435
SRR3617268,0.170940171,-0.800753299,4.244809982,1881.159326,-553.5914669,4.377660275,7.909636021
SRR3617270,0.190883191,1.68556205,5.790395382,1243.613228,1186.12695,4.289399147,7.657965183
SRR3617271,0.071225071,-3.304720593,1.318848602,463.8594054,1206.354952,5.278743267,8.199474335
SRR3617284,0.62962963,1.143941132,4.824349671,1825.568318,-873.6947348,4.891746044,7.817518234
SRR3617287,0.165242165,-0.637823721,4.584803979,1914.89043,-946.9206552,4.747512817,7.734139919
SRR3617290,0.413105413,-0.981001396,6.154470534,42.35166043,-1760.296576,5.249729156,8.603330612
SRR3617291,0.156695157,-2.820618933,7.064761892,794.1817198,-1093.459791,4.421230793,7.588953972
SRR3617308,0.541310541,1.331283589,3.980815219,866.9665015,330.4985327,4.90714407,7.587115765
SRR3617314,0.025641026,2.245381325,6.791532425,-655.453239,-1969.718305,4.076128006,7.285671711
SRR3617316,0.062678063,0.275615617,6.16522809,-198.798038,-144.1570263,3.703019381,7.577997208
SRR3617317,0.227920228,-2.995088892,7.025091888,-513.5972599,-1916.483826,4.628080845,7.386149883
SRR3617322,0.222222222,2.070018891,4.998263497,-265.0214799,-1226.923409,4.424919605,7.435956001
SRR3617337,0.37037037,0.911214491,5.131338226,1150.229967,-1393.619746,4.972914696,8.10425663
SRR3617340,0.467236467,0.65853564,3.990946733,765.8878965,-720.3026794,4.632000923,7.611448765
SRR3617345,0.398860399,1.540395248,4.750987201,-299.3241213,-810.7517639,4.857440948,8.15308094
SRR3617348,0.621082621,2.111728479,4.579292792,691.4277424,-1523.4788,4.782543659,7.983837128
SRR3617350,0.096866097,-0.317035491,5.959873676,1824.846445,-1015.203409,4.157457352,7.901082039
SRR3617351,0.15954416,1.693149845,3.191768193,1987.836616,-792.3939399,5.117415905,7.98141861
SRR3617363,0.874643875,9.784415461,1.57125961,1884.146183,-1142.279827,4.229804039,8.134654999
SRR3617364,0.686609687,0.129916867,4.548923612,1195.665886,-1191.155379,4.120128632,7.849384785
SRR3617369,0.712250712,0.904682371,2.666320112,991.4791924,135.1817136,4.773444176,7.765068054
SRR3617371,0.304843305,7.178996043,6.988673817,1178.267888,641.5256085,6.079223633,8.296005249
SRR3617374,0.173789174,2.632991969,5.818709911,512.22071,72.41830945,4.429932117,7.754860878
SRR3617383,0.276353276,-0.200296356,5.033083073,1595.591115,-1557.949622,4.144382477,7.728077412
SRR3617396,0.757834758,-0.102090593,2.395647248,1860.135901,-1345.639212,4.459557056,8.0352211
SRR3617399,0.307692308,-2.847022513,6.703293041,-721.7189019,-1915.180599,2.390028477,7.761663914
SRR3617402,0.136752137,-0.128503174,3.320532191,1150.240119,-753.3967709,2.864703417,7.704443455
SRR3617403,0.131054131,-2.760689084,5.91329275,727.3061652,-397.24705,2.760730267,8.563646317
SRR3617404,0.672364672,1.304607273,0.721031758,877.8860701,1032.488528,2.442156315,8.077837944
SRR3617411,0.082621083,-2.93289982,5.348134294,1288.036645,538.9817975,2.14900732,8.764219284
SRR3617413,0.384615385,-2.7933733,5.791257093,1578.208028,-755.7208251,2.327625513,8.291332245
SRR3617414,0.641025641,-1.77748622,6.858450544,1709.082287,-1044.136826,3.02670455,7.690147877
SRR3617415,0.270655271,-0.82463059,3.516619803,1376.642979,-367.3879311,2.82241559,8.011935234
SRR3617419,0.213675214,-3.680815228,5.70930887,1391.171487,-81.51431338,2.520208359,8.735548973
SRR3617422,0.042735043,1.155702145,-5.415689502,1133.344277,-838.5197035,3.000781298,9.079451561
SRR3617424,0.458689459,-3.156890705,3.127273795,554.5764316,1229.038072,3.096399307,8.134140968
SRR3617427,0.45014245,-1.565235512,-0.372400753,1015.240314,-475.7598363,3.395125389,9.092456818
SRR3617429,0.102564103,-0.871767524,2.414702734,1.595823904,896.7941289,3.61515069,9.154213905
SRR3617431,0.022792023,-2.331412821,3.993233775,748.224073,35.81578802,3.360471249,7.41514349
SRR3617432,0.045584046,-3.814269089,4.962586824,1185.389876,62.02555935,3.586799145,8.653226852
SRR3617434,0.310541311,-8.12219992,-8.24824053,1229.703,1018.665226,2.441199303,10.01010132
SRR3617436,0.002849003,-4.002747463,4.058591641,723.5562526,841.8464199,3.164409876,8.57491684
SRR3617437,0.373219373,-0.234044639,7.077796707,1476.645103,-1239.779374,3.121535778,7.476723671
SRR3617440,0.239316239,-2.276212052,6.462379413,929.3542797,-125.814005,3.322234631,8.340037346
SRR3617444,0.715099715,-1.971770993,5.442466588,-52.08656683,-918.8505341,3.028659821,8.90481472
SRR3617448,0.125356125,-2.105398885,5.471352982,1146.369026,-547.434132,2.667123556,8.111801147
SRR3617449,0.242165242,-1.769014008,2.044072714,1744.203493,-1407.82569,3.251132965,8.532134056
SRR3617450,0.50997151,-1.795178761,4.987532674,1683.486559,-1263.230551,2.985271454,8.048024178
SRR3617451,0.41025641,5.997684917,7.795020539,1758.831795,-368.0068745,2.311332226,8.75483799
SRR3617453,0.068376068,-1.579518402,7.175104377,1596.706828,-997.7665717,3.120280981,8.206278801
SRR3617454,0.113960114,0.197378635,5.527208079,427.9445637,835.2671775,3.36103034,9.564531326
SRR3617455,0.336182336,-2.509959646,5.637559373,1591.459311,-1217.812509,2.69677186,8.249504089
SRR3617460,0.720797721,0.114473657,6.842462712,-369.1908635,-1905.649375,2.231343508,8.631140709
SRR3617466,0.150997151,1.029350013,6.762938686,-706.2594635,-2015.056708,2.568605185,8.341444969
SRR3617471,0.207977208,-1.362569739,5.105135394,1148.953866,-637.1550022,2.761481047,7.842105865
SRR3617477,0.43019943,1.318032005,6.13327319,-447.6382652,-1273.810555,2.637700796,8.44353199
SRR3617478,0.854700855,0.781980082,5.710519725,-650.5601976,-1748.860949,2.746231556,8.52785778
SRR3617481,0.515669516,-2.230495878,4.267005612,926.7678204,-724.0020954,3.236612558,7.598228455
SRR3617486,0.319088319,-2.219653828,4.732389746,1655.466468,-977.5498844,3.912875652,8.069840431
SRR3617489,0.655270655,-2.147746694,4.926036932,1479.562447,-883.9391571,2.932913065,7.95709753
SRR3617490,0.367521368,-1.903534524,2.952114141,1510.223191,-658.9856801,3.231881857,7.949879169
SRR3617491,0.014245014,0.236159945,3.989047864,751.7154468,230.2207118,3.351353645,8.035625458
SRR3617493,0.05982906,1.680118953,1.220450462,1177.890458,491.3202461,2.36813283,8.807168961
SRR3617496,0.179487179,1.254009106,6.063610665,-46.68212918,-1733.286381,2.474062443,8.34587574
SRR3617508,0.364672365,-1.769432598,4.394801068,1353.5197,-969.9408003,2.92655468,8.777071953
SRR3617513,0.293447293,-3.799963715,4.905654155,1938.917628,-1343.987065,3.573926687,7.98655653
SRR3617518,0.202279202,-1.36886786,0.580394397,1475.674195,9.797508196,3.621544838,8.065657616
SRR3617530,0.86039886,-1.327516264,5.725863796,35.99233474,-1044.496502,3.443573236,9.041168213
SRR3617533,0.472934473,0.541025776,5.052536091,-289.7954374,-1499.52663,3.498569727,7.974586964
SRR3617536,0.262108262,3.734822017,5.869080199,1488.664209,-426.9264251,3.247006655,8.648921013
SRR3617540,0.441595442,-10.13654163,-9.332901738,62.65678427,-81.60882676,1.734930158,11.59876251
SRR3617541,0.054131054,3.356839391,5.044994743,1575.266652,-152.7055243,2.19247365,8.106294632
SRR3617544,0.393162393,-2.859568706,5.133323875,1887.420675,-1421.629287,3.1329422,8.472793579
SRR3617545,0.64957265,1.105992976,5.060945004,-342.5384601,-2001.938162,2.766188383,8.820833206
SRR3617547,0.301994302,-3.440189628,4.112474654,825.0652663,-352.7933383,3.154349089,7.83959198
SRR3617548,0.287749288,-1.842766489,7.324369086,1428.524767,-1011.266185,2.995331287,8.339200974
SRR3617554,0.47008547,0.668413492,5.32661053,657.5109435,-1342.561887,2.657778263,8.259619713
SRR3617555,0.495726496,-2.040632697,5.565354754,326.6636511,-1625.339355,2.63931489,8.378858566
SRR3617562,0.396011396,-1.743749711,6.901820576,-227.4774397,-1328.529732,2.832505941,8.061867714
SRR3617568,0.749287749,-3.180289262,3.937053585,1486.635782,-987.1574653,3.181235075,8.310289383
SRR3617569,0.447293447,-3.320602869,3.995717992,1691.129317,-1134.318832,3.372959614,8.206396103
SRR3617571,0.931623932,-1.817283404,0.959576481,945.4327849,-574.9208122,5.187044621,9.379401207
SRR3617573,0.193732194,-2.069169749,-1.822354293,1353.749841,-729.2179354,3.309063196,9.636323929
SRR3617574,0.313390313,-1.522960468,-1.312648673,-215.1661869,1114.728234,4.551751137,10.11178684
SRR3617580,0.444444444,-9.697060285,-9.955585633,-4847.129914,1124.527213,3.029191732,10.50723076
SRR3617583,0.210826211,6.717237392,-1.656629129,816.1927371,-1236.336702,5.533018589,9.60181427
SRR3617590,0.823361823,-0.541422699,-1.340277769,800.5170889,604.5592872,5.189782619,9.320980072
SRR3617594,0.299145299,-2.459262606,-3.033301966,945.6483648,1168.360431,4.879585266,9.073030472
SRR3617617,0.35042735,-1.675145419,-1.764852014,1819.72306,-323.1107127,5.110665798,9.29804039
SRR3617630,0.706552707,2.551481956,1.848351529,857.0297906,120.7539866,5.530468941,9.198692322
SRR3617637,0.273504274,-1.832581552,1.523486698,731.5000174,-534.1299143,4.111568928,10.04715919
SRR3617641,0.740740741,5.24368998,-0.429154128,-559.9541409,49.99419789,5.873254776,9.493558884
SRR3617642,0.07977208,-11.65304609,-8.063838172,-3394.95831,933.8900091,2.126919508,10.61213112
SRR3617648,0.754985755,0.157205783,-1.785042493,785.3697423,791.6922339,4.277567387,10.70846081
SRR3617650,0.928774929,-1.135785206,-0.754196522,473.891172,1361.046868,4.824960232,10.72327614
SRR3617652,0.709401709,0.684841731,-3.408869804,-62.46388633,1224.605569,4.135250568,11.103302
SRR3617664,0.56980057,-1.111202567,-3.002324445,217.5329346,709.1459905,5.301386356,9.315432549
SRR3617667,0.017094017,6.153521903,-3.695503803,-801.3919875,-1829.928881,6.070528507,11.70599174
SRR3617668,0.341880342,2.33399993,-2.875004137,-318.2605689,271.2194499,5.717601776,10.59932995
SRR3617673,0.005698006,5.410107204,1.885575526,764.7777004,1239.223542,4.862936497,9.078186989
SRR3617675,0.894586895,1.657101061,-0.090362381,-945.0898815,-185.878048,4.878086567,9.756029129
SRR3617676,0.205128205,1.387854721,-3.686143181,-484.3038054,490.429249,5.508251667,10.04346752
SRR3617683,0.786324786,-0.217743324,-0.59104609,-1001.485469,168.1267574,4.112284184,10.40657997
SRR3617684,0.153846154,-4.62515469,2.974588659,732.0490089,531.2266833,3.178408384,8.940616608
SRR3617685,0.566951567,-1.984500648,1.332165832,94.32640426,1110.048627,3.817391634,10.17169857
SRR3617693,0.435897436,-9.244383123,-9.888640422,-3975.796903,1034.304991,2.532388449,11.02934074
SRR3617695,0.561253561,1.49301449,-0.263342329,80.98221519,732.6694594,4.53571558,10.48725796
SRR3617701,0.743589744,0.661263344,-0.16808491,-391.2496122,986.0864504,4.779992104,10.47358036
SRR3617706,0.794871795,1.598432061,-1.689682135,-661.5708305,-922.5019371,5.073545933,9.794060707
SRR3617707,0.148148148,2.663215015,3.352015443,46.18696514,-279.1851728,5.711326599,8.882095337
SRR3617708,0.572649573,-0.77627171,-2.081822846,359.5012244,1290.424273,3.989629269,10.42409325
SRR3617713,0.381766382,-0.300864941,-0.720175997,-398.1843988,445.6748142,4.346832275,10.14133549
SRR3617717,0.353276353,4.72722435,-3.091659048,111.3508104,368.1791055,5.568466187,10.41888905
SRR3617720,0.772079772,4.063701381,-0.256501182,-550.014497,-457.6742681,5.567539215,10.61025524
SRR3617729,0.660968661,-1.126680911,0.670223695,386.9758877,611.5552816,4.466248035,9.532810211
SRR3617735,0.997150997,0.61342023,-1.07669955,571.7125034,218.0315782,5.80202198,9.040596008
SRR3617738,0.552706553,-0.480931941,0.652218692,108.5792857,958.6713483,4.396345615,9.68119812
SRR3617747,0.834757835,3.765638225,-0.642092668,-753.1505544,-385.1180479,5.685748577,10.28333092
SRR3617753,0.327635328,1.358148257,-0.930910587,40.84435484,191.4581331,4.800508022,10.60907364
SRR3617755,0.646723647,-0.927876434,-1.435346817,-429.6506109,677.8260651,5.118080139,10.52849388
SRR3617756,0.843304843,2.670380861,-2.312849525,-72.35145865,535.8185138,4.635124207,10.30423355
SRR3617758,0.415954416,-0.429781291,-2.254914644,263.4736492,1370.250518,4.210475445,10.8618927
SRR3617761,0.498575499,1.147633056,-1.953576501,-359.3022154,886.8447712,5.242416382,10.04938602
SRR3617766,0.735042735,-0.441551337,-1.276630868,-409.4608122,809.5650757,5.031094074,10.35227585
SRR3617774,0.683760684,-0.240199746,-1.930305444,595.1782213,338.0482197,4.334581852,10.48919582
SRR3617780,0.378917379,0.381220707,-0.326900488,21.47653963,1064.394627,4.24384737,10.57459164
SRR3617785,0.826210826,1.899946703,-1.993733455,-161.9104472,967.6532866,5.229495049,11.02690887
SRR3617789,0.777777778,3.017624484,-0.98077923,883.4177347,886.1411525,5.78077364,10.35412788
SRR3617791,0.846153846,0.748769611,2.447774614,788.0582635,998.1800166,3.908766031,9.769742012
SRR3617793,0.866096866,0.116276074,1.9054184,-84.8356079,809.0086496,4.331996441,9.493285179
SRR3617794,0.011396011,0.576326144,1.007076625,-408.2943555,239.4909742,4.216112137,9.033150673
SRR3617795,0.0997151,-3.077006409,1.118207026,1327.948212,982.0536599,4.268648624,8.590072632
SRR3617797,0.279202279,-9.450207412,-8.017608465,-213.1120327,296.0427028,2.596480608,10.75739861
SRR3617802,0.806267806,-0.659461957,0.049489427,1113.115099,1238.286237,4.381064892,11.12504578
SRR3617804,0.233618234,-3.837244564,3.336955542,1822.48652,-440.421151,3.761730909,9.385140419
SRR3617816,0.401709402,0.26470132,-2.975629038,496.4226388,1099.378134,6.265317917,9.268424034
SRR3617817,0.623931624,-3.649634499,2.300937824,1456.301716,675.2672271,4.34071064,9.183814049
SRR3617825,0.532763533,-2.659161783,1.332877224,1896.619377,-170.3938563,4.414402008,8.693868637
SRR3617831,0.116809117,2.432960486,1.023847603,-567.6609361,-99.37793471,4.115076065,9.870066643
SRR3617838,0.512820513,1.063107681,1.730207454,831.1232886,1253.019216,4.79651165,10.0499754
SRR3617844,0.943019943,0.611003233,1.657263074,1051.098102,-1619.270893,4.052116394,8.889695168
SRR3617854,0.296296296,-5.319996439,1.501063919,1848.047876,75.50702447,2.896030664,10.08929348
SRR3617855,0.085470085,3.869403718,2.904604528,1126.58851,1021.199921,4.150558949,9.116101265
SRR3617859,0.247863248,-3.739979424,0.77775158,1075.010507,1297.883963,4.478441715,9.230419159
SRR3617869,0.034188034,-4.13054808,-0.315921527,634.1120728,1360.208343,6.772566795,8.735007286
SRR3617872,0.267806268,-2.736571847,0.129619268,-509.1117368,383.907137,6.188466549,8.465296745
SRR3617875,0.347578348,-1.704168481,0.01674685,311.065014,1189.089935,6.185045719,8.715258598
SRR3617881,0.643874644,-2.975450402,-0.152197471,-1095.341305,112.4187867,6.483794689,8.404815674
SRR3617885,0.219373219,2.307058588,7.094205744,85.28889577,-212.6726729,6.788441658,8.306482315
SRR3617896,0.601139601,-3.03112496,-0.441111513,1353.795049,-1106.420244,6.592538834,8.304294586
SRR3617908,0.321937322,-3.147677714,-0.78111395,980.4070473,-837.9759309,6.550135136,8.369708061
SRR3617924,0.717948718,-2.453642067,-1.065603048,502.8663076,166.5675673,6.669577599,8.699120522
SRR3617926,0.723646724,-0.248886135,-3.393923764,379.9075768,185.0211287,6.61356926,8.620861053
SRR3617942,0.886039886,1.943816114,-0.834750497,-172.3894843,-1027.841394,5.306056976,9.95863533
SRR3617944,0.888888889,3.984824414,-3.682326696,-1015.4109,-1702.344531,6.829026222,9.593309402
SRR3617945,0.037037037,2.886589663,-0.166715619,1008.863956,1034.948411,5.780227661,11.66653252
SRR3617947,0.871794872,7.323135139,6.803503293,933.527145,-6.795914997,5.162166595,11.72535133
SRR3617948,0.339031339,4.600576395,-1.540421174,567.3793589,1075.281134,6.129117012,10.73518467
SRR3617949,0.421652422,4.346260779,1.436053271,-667.4720642,282.4152457,5.195092678,10.75544262
